"Species.Name","AOU","Region","Region.Name","shrunk_trend","shrunk_trend_lci","shrunk_trend_uci","Original_Trend","Original_Trend_lci","Original_Trend_uci"
"Red-shouldered Hawk",3390,"S28","Appalachian Mountains                   ",3.83599665512488,3.00844143202532,4.7156493392626,3.91,3.05,4.75
"Broad-winged Hawk",3430,"S28","Appalachian Mountains                   ",0.35009422749273,-0.116038178967973,0.818314271957851,0.36,-0.1,0.86
"Bald Eagle",3520,"S28","Appalachian Mountains                   ",5.6949651779089,2.84854130513662,8.59180524690251,7.92,4.43,11.41
"Merlin",3570,"S28","Appalachian Mountains                   ",1.73007652468033,-1.37920896532671,4.88952055980854,2.83,-1.03,7.2
"American Kestrel",3600,"S28","Appalachian Mountains                   ",-0.802477443303023,-1.32181210676657,-0.306219093337883,-0.81,-1.33,-0.29
"Osprey",3640,"S28","Appalachian Mountains                   ",3.91765299497831,2.03115742225909,5.89384846635744,4.49,2.49,6.67
"Barred Owl",3680,"S28","Appalachian Mountains                   ",1.48085328986188,0.692683824827688,2.31811564525149,1.51,0.69,2.36
"Eastern Screech-Owl",3730,"S28","Appalachian Mountains                   ",-0.935495743449692,-1.84217938215548,0.0250198625996148,-0.96,-1.96,-0.01
"Great Horned Owl",3750,"S28","Appalachian Mountains                   ",0.140177654456233,-0.726645584653498,1.05807677476309,0.14,-0.73,1.05
"Yellow-billed Cuckoo",3870,"S28","Appalachian Mountains                   ",-0.525481879436541,-1.03456799940208,-0.0302695716434244,-0.53,-1.04,-0.02
"Black-billed Cuckoo",3880,"S28","Appalachian Mountains                   ",-2.47650279831228,-3.55679742713038,-1.40248197839171,-2.59,-3.75,-1.56
"Belted Kingfisher",3900,"S28","Appalachian Mountains                   ",-0.921677343237445,-1.37963566732445,-0.464431613796171,-0.93,-1.36,-0.45
"Hairy Woodpecker",3930,"S28","Appalachian Mountains                   ",0.598094817749715,0.181209184143508,1.03103856378934,0.6,0.18,1.03
"Downy Woodpecker",3940,"S28","Appalachian Mountains                   ",-0.349129903533214,-0.662622656887536,-0.0313966964729251,-0.35,-0.67,-0.03
"Red-cockaded Woodpecker",3950,"S28","Appalachian Mountains                   ",-0.1539382565284,-3.93122793310015,3.83016523128783,-0.18,-5.49,4.75
"Yellow-bellied Sapsucker",4020,"S28","Appalachian Mountains                   ",3.26493634907491,1.98491850181394,4.57878014110046,3.44,2.19,4.74
"Pileated Woodpecker",4050,"S28","Appalachian Mountains                   ",1.04127571741678,0.613063409187316,1.47494405654741,1.05,0.62,1.45
"Red-headed Woodpecker",4060,"S28","Appalachian Mountains                   ",0.597378809724628,-0.219761806222859,1.38777544397244,0.61,-0.17,1.4
"Red-bellied Woodpecker",4090,"S28","Appalachian Mountains                   ",2.51891171575457,2.16950560107572,2.84228732533533,2.53,2.2,2.87
"Chuck-will's-widow",4160,"S28","Appalachian Mountains                   ",-3.21781779345355,-4.25372509583972,-2.18875206193903,-3.33,-4.45,-2.32
"Eastern Whip-poor-will",4171,"S28","Appalachian Mountains                   ",-2.00225124828486,-3.04141656888036,-0.946703136125729,-2.08,-3.15,-0.96
"Common Nighthawk",4200,"S28","Appalachian Mountains                   ",-2.15623770603194,-4.16504723560404,-0.289173418259196,-2.43,-4.63,-0.65
"Chimney Swift",4230,"S28","Appalachian Mountains                   ",-1.55024517379587,-1.86644046922932,-1.22155796190873,-1.55,-1.89,-1.23
"Ruby-throated Hummingbird",4280,"S28","Appalachian Mountains                   ",0.750640676590797,0.263102198308917,1.24750975718612,0.76,0.26,1.25
"Eastern Kingbird",4440,"S28","Appalachian Mountains                   ",-0.9754577734378,-1.29226689604868,-0.656553734730677,-0.98,-1.31,-0.68
"Great Crested Flycatcher",4520,"S28","Appalachian Mountains                   ",-0.856404949066641,-1.15486558800758,-0.566484006910998,-0.86,-1.15,-0.57
"Eastern Phoebe",4560,"S28","Appalachian Mountains                   ",0.212237845503781,-0.113005884862146,0.527004179195359,0.21,-0.11,0.54
"Olive-sided Flycatcher",4590,"S28","Appalachian Mountains                   ",-1.1418416213198,-3.89638348968081,1.88440864320923,-1.56,-5.18,1.6
"Eastern Wood-Pewee",4610,"S28","Appalachian Mountains                   ",-2.03208992624466,-2.31679017821798,-1.75566666872964,-2.04,-2.33,-1.77
"Acadian Flycatcher",4650,"S28","Appalachian Mountains                   ",-0.589640753430273,-0.912241972662818,-0.250942365888083,-0.59,-0.92,-0.24
"Least Flycatcher",4670,"S28","Appalachian Mountains                   ",-2.22409803757446,-2.68865634461208,-1.740136989571,-2.24,-2.75,-1.76
"Horned Lark",4740,"S28","Appalachian Mountains                   ",-4.5708378142816,-5.55967934557357,-3.55676562055356,-4.75,-5.85,-3.79
"Blue Jay",4770,"S28","Appalachian Mountains                   ",-0.219196138595247,-0.42957290277006,-0.00549475081513619,-0.22,-0.43,-0.01
"Common Raven",4860,"S28","Appalachian Mountains                   ",3.9723032090743,2.93590938243923,5.01290179883722,4.13,3.04,5.16
"American Crow",4880,"S28","Appalachian Mountains                   ",-0.0113161321844272,-0.174912791019879,0.1554202929915,-0.01,-0.19,0.15
"Fish Crow",4900,"S28","Appalachian Mountains                   ",2.26035400902668,0.773628909847898,3.79737286561002,2.48,0.99,4.12
"European Starling",4930,"S28","Appalachian Mountains                   ",-1.26604627715563,-1.55182779775906,-0.983616970848189,-1.27,-1.56,-0.98
"Bobolink",4940,"S28","Appalachian Mountains                   ",-0.859050486575363,-1.44435859454163,-0.291972290108649,-0.87,-1.45,-0.28
"Brown-headed Cowbird",4950,"S28","Appalachian Mountains                   ",-1.95001617203424,-2.25707831926487,-1.64227710778506,-1.96,-2.27,-1.65
"Red-winged Blackbird",4980,"S28","Appalachian Mountains                   ",-1.404799537704,-1.59424320603291,-1.21077936659103,-1.41,-1.6,-1.21
"Eastern Meadowlark",5010,"S28","Appalachian Mountains                   ",-3.38002300653776,-3.68730595963206,-3.06246732721438,-3.39,-3.69,-3.08
