species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Geothlypis philadelphia,Mourning Warbler,Geothlypis philadelphia,M,NA,-1.369,BBS7017,-1.82,-0.86,Northern Forest,Central and South American Highlands,Forests—Boreal,Forests—Temperate Eastern,Forests—Tropical Montane Evergreen,Forests—Tropical Lowland Evergreen,35542,Geothlypis philadelphia,Mourning Warbler,Geothlypis philadelphia,Geothlypis philadelphia,Geothlypis philadelphia
Geothlypis formosa,Kentucky Warbler,Geothlypis formosa,M,NA,-0.842,BBS7017,-1.09,-0.54,Eastern Temperate,Gulf-Caribbean Lowlands,Forests—Temperate Eastern,,Forests—Tropical Lowland Evergreen,,35543,Geothlypis formosa,Kentucky Warbler,Geothlypis formosa,Geothlypis formosa,Geothlypis formosa
Geothlypis semiflava,Olive-crowned Yellowthroat,Geothlypis semiflava,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Montane Evergreen,Wetlands—Freshwater Marsh,Forests—Tropical Montane Evergreen,Wetlands—Freshwater Marsh,35544,Geothlypis semiflava,Olive-crowned Yellowthroat,Geothlypis semiflava,Geothlypis semiflava,Geothlypis semiflava
Geothlypis speciosa,Black-polled Yellowthroat,Geothlypis speciosa,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,35548,Geothlypis speciosa,Black-polled Yellowthroat,Geothlypis speciosa,Geothlypis speciosa,Geothlypis speciosa
Geothlypis beldingi,Belding's Yellowthroat,Geothlypis beldingi,R,NA,NA,,NA,NA,North American Southwest,North American Southwest,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,35551,Geothlypis beldingi,Belding's Yellowthroat,Geothlypis beldingi,Geothlypis beldingi,Geothlypis beldingi
Geothlypis flavovelata,Altamira Yellowthroat,Geothlypis flavovelata,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,35559,Geothlypis flavovelata,Altamira Yellowthroat,Geothlypis flavovelata,Geothlypis flavovelata,Geothlypis flavovelata
Geothlypis trichas,Common Yellowthroat,Geothlypis trichas,PM,NA,-0.882,BBS7017,-1.02,-0.75,Nearctic,Widespread,Open Country—Habitat Mosaic,Wetlands—Freshwater Marsh,Open Country—Habitat Mosaic,Wetlands—Freshwater Marsh,35560,Geothlypis trichas,Common Yellowthroat,Geothlypis trichas,Geothlypis trichas,Geothlypis trichas
Geothlypis nelsoni,Hooded Yellowthroat,Geothlypis nelsoni,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Aridlands—Tropical Arid Scrub,,Aridlands—Tropical Arid Scrub,,35574,Geothlypis nelsoni,Hooded Yellowthroat,Geothlypis nelsoni,Geothlypis nelsoni,Geothlypis nelsoni
Setophaga citrina,Hooded Warbler,Setophaga citrina,M,NA,1.536,BBS7017,1.26,1.79,Eastern Temperate,Gulf-Caribbean Lowlands,Forests—Temperate Eastern,,Forests—Tropical Lowland Evergreen,,35581,Setophaga citrina,Hooded Warbler,Setophaga citrina,Setophaga citrina,Setophaga citrina
Setophaga ruticilla,American Redstart,Setophaga ruticilla,M,NA,-0.245,BBS7017,-0.52,0.07,Northern Forest,Neotropical,Forests—Temperate Generalist,,Forests—Tropical Generalist,Coasts—Mangroves,35582,Setophaga ruticilla,American Redstart,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla
