species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Nothocercus bonapartei,Highland Tinamou,Nothocercus bonapartei,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,64,Nothocercus bonapartei,Highland Tinamou,Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus bonapartei
Tinamus major,Great Tinamou,Tinamus major,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,50,Tinamus major,Great Tinamou,Tinamus major,Tinamus major,Tinamus major
Crypturellus soui,Little Tinamou,Crypturellus soui,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,76,Crypturellus soui,Little Tinamou,Crypturellus soui,Crypturellus soui,Crypturellus soui
Crypturellus cinnamomeus,Thicket Tinamou,Crypturellus cinnamomeus,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,126,Crypturellus cinnamomeus,Eastern Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus
Crypturellus boucardi,Slaty-breasted Tinamou,Crypturellus boucardi,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,137,Crypturellus boucardi,Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus boucardi,Crypturellus boucardi
Crypturellus kerriae,Choco Tinamou,Crypturellus kerriae,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,140,Crypturellus kerriae,Choco Tinamou,Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae
Dendrocygna autumnalis,Black-bellied Whistling-Duck,Dendrocygna autumnalis,PM,NA,7.357,BBS7017,5.93,8.75,Neotropical,Neotropical,Wetlands—Generalist,,Wetlands—Generalist,,1464,Dendrocygna autumnalis,Black-bellied Whistling-duck,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis
Dendrocygna bicolor,Fulvous Whistling-Duck,Dendrocygna bicolor,PM,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,Coasts—Saltmarsh,1469,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygna bicolor,Dendrocygna bicolor,Dendrocygna bicolor
Anser canagicus,Emperor Goose,Anser canagicus,M,NA,0.4,CAFF8515,0.26,0.54,Arctic,Pacific North America,Coasts—Saltmarsh,,Coasts—Marine Waters,Coasts—Rocky Intertidal,1505,Anser canagicus,Emperor Goose,Anser canagicus,Anser canagicus,Anser canagicus
Anser caerulescens,Snow Goose,Anser caerulescens,M,NA,6.052227727,CAFF7514,5.912227727,6.192227727,Arctic,Nearctic,Wetlands—Tundra,Tundra—Arctic,Wetlands—Generalist,,1507,Anser caerulescens,Snow Goose,Anser caerulescens,Anser caerulescens,Anser caerulescens
Anser rossii,Ross's Goose,Anser rossii,M,NA,11.7,CAFF7514,11.56,11.84,Arctic,Nearctic,Wetlands—Tundra,Tundra—Arctic,Wetlands—Generalist,,1506,Anser rossii,Ross's Goose,Anser rossii,Anser rossii,Anser rossii
Anser albifrons,Greater White-fronted Goose,Anser albifrons,M,NA,4.896796634,CAFF7514,4.756796634,5.036796634,Arctic,Nearctic,Wetlands—Tundra,,Wetlands—Generalist,,1524,Anser albifrons,Greater White-fronted Goose,Anser albifrons,Anser albifrons,Anser albifrons
Branta bernicla,Brant,Branta bernicla,M,NA,0.203026541,CAFF6116,0.063026541,0.343026541,Arctic,Nearctic,Coasts—Saltmarsh,Coasts—Tundra,Coasts—Marine Waters,Coasts—Rocky Intertidal,1482,Branta bernicla,Brent Goose,Branta bernicla,Branta bernicla,Branta bernicla
Branta hutchinsii,Cackling Goose,Branta hutchinsii,M,NA,6.210299032,CAFF7514,6.070299032,6.350299032,Arctic,Nearctic,Wetlands—Tundra,Coasts—Tundra,Wetlands—Generalist,,1498,Branta hutchinsii,Cackling Goose,Branta hutchinsii,Branta hutchinsii,Branta hutchinsii
Branta canadensis,Canada Goose,Branta canadensis,PM,NA,10.283,BBS7017,9.59,11.03,Nearctic,Nearctic,Wetlands—Generalist,,Wetlands—Generalist,Coasts—Saltmarsh,1489,Branta canadensis,Canada Goose,Branta canadensis,Branta canadensis,Branta canadensis
Cygnus olor,Mute Swan,Cygnus olor,R,1,3.607,BBS7017,1.43,5.52,Introduced,Introduced,Wetlands—Generalist,,Wetlands—Generalist,,1535,Cygnus olor,Mute Swan,Cygnus olor,Cygnus olor,Cygnus olor
Cygnus buccinator,Trumpeter Swan,Cygnus buccinator,PM,NA,6.6,NATS6815,NA,NA,Northern Forest,Nearctic,Wetlands—Lakes and Rivers,Wetlands—Freshwater Marsh,Wetlands—Generalist,,1536,Cygnus buccinator,Trumpeter Swan,Cygnus buccinator,Cygnus buccinator,Cygnus buccinator
Cygnus columbianus,Tundra Swan,Cygnus columbianus,M,NA,-0.00177,CBC7017,-1.3646135,1.9850049,Arctic,Nearctic,Wetlands—Tundra,,Wetlands—Generalist,,1537,Cygnus columbianus,Tundra Swan,Cygnus columbianus,Cygnus columbianus,Cygnus columbianus
Cairina moschata,Muscovy Duck,Cairina moschata,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Generalist,,Wetlands—Generalist,,1589,Cairina moschata,Muscovy Duck,Cairina moschata,Cairina moschata,Cairina moschata
Aix sponsa,Wood Duck,Aix sponsa,PM,NA,1.817,BBS7017,1.57,2.04,Eastern Temperate,Eastern Temperate,Wetlands—Forested,Forests—Temperate Eastern,Wetlands—Forested,Wetlands—Lakes and Rivers,1592,Aix sponsa,Wood Duck,Aix sponsa,Aix sponsa,Aix sponsa
Spatula discors,Blue-winged Teal,Spatula discors,M,NA,1.4661,FWS7017,1.3464,1.5901,Nearctic,Widespread,Wetlands—Seasonally Wet Grasslands,Wetlands—Freshwater Marsh,Coasts—Saltmarsh,Wetlands—Freshwater Marsh,1624,Spatula discors,Blue-winged Teal,Spatula discors,Spatula discors,Spatula discors
Spatula cyanoptera,Cinnamon Teal,Spatula cyanoptera,PM,NA,-2.176,BBS7017,-3.03,-1.45,Western Temperate,Western Temperate,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,Wetlands—Lakes and Rivers,1618,Spatula cyanoptera,Cinnamon Teal,Spatula cyanoptera,Spatula cyanoptera,Spatula cyanoptera
Spatula clypeata,Northern Shoveler,Spatula clypeata,PM,NA,2.279,FWS7017,2.163,2.3971,Nearctic,Nearctic,Wetlands—Seasonally Wet Grasslands,Wetlands—Freshwater Marsh,Wetlands—Generalist,,1629,Spatula clypeata,Northern Shoveler,Spatula clypeata,Spatula clypeata,Spatula clypeata
Mareca strepera,Gadwall,Mareca strepera,M,NA,2.3951,FWS7017,2.2563,2.5373,Nearctic,Nearctic,Wetlands—Seasonally Wet Grasslands,Wetlands—Freshwater Marsh,Wetlands—Generalist,,1630,Mareca strepera,Gadwall,Mareca strepera,Mareca strepera,Mareca strepera
Mareca penelope,Eurasian Wigeon,Mareca penelope,M,NA,NA,,NA,NA,Palearctic,Palearctic,Wetlands—Freshwater Marsh,,Wetlands—Generalist,,1634,Mareca penelope,Eurasian Wigeon,Mareca penelope,Mareca penelope,Mareca penelope
Mareca americana,American Wigeon,Mareca americana,M,NA,-0.23615,FWS7017,-0.36465,-0.10578,Nearctic,Nearctic,Wetlands—Seasonally Wet Grasslands,Wetlands—Freshwater Marsh,Wetlands—Generalist,,1636,Mareca americana,American Wigeon,Mareca americana,Mareca americana,Mareca americana
Anas platyrhynchos,Mallard,Anas platyrhynchos,PM,NA,0.6795,FWS7017,0.5989,0.7629,Widespread,Widespread,Wetlands—Generalist,,Wetlands—Generalist,Coasts—Saltmarsh,1659,Anas platyrhynchos,Mallard,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos
Anas rubripes,American Black Duck,Anas rubripes,PM,NA,-1.048,BBS7017,-1.94,-0.18,Northern Forest,Eastern Temperate,Wetlands—Boreal,Coasts—Saltmarsh,Wetlands—Lakes and Rivers,Coasts—Saltmarsh,1665,Anas rubripes,American Black Duck,Anas rubripes,Anas rubripes,Anas rubripes
Anas fulvigula,Mottled Duck,Anas fulvigula,PM,NA,-2.514,BBS7017,-3.58,-1.41,Eastern Temperate,Eastern Temperate,Wetlands—Freshwater Marsh,,Coasts—Saltmarsh,Wetlands—Freshwater Marsh,1662,Anas fulvigula,Mottled Duck,Anas fulvigula,Anas fulvigula,Anas fulvigula
Anas acuta,Northern Pintail,Anas acuta,M,NA,-1.23269,FWS7017,-1.35489,-1.1152,Nearctic,Nearctic,Wetlands—Seasonally Wet Grasslands,Wetlands—Tundra,Wetlands—Generalist,,1681,Anas acuta,Northern Pintail,Anas acuta,Anas acuta,Anas acuta
Anas crecca,Green-winged Teal,Anas crecca,M,NA,1.683,FWS7017,1.5365,1.8358,Nearctic,Nearctic,Wetlands—Generalist,,Wetlands—Generalist,,1683,Anas crecca,Common Teal,Anas crecca,Anas crecca,Anas crecca
Aythya valisineria,Canvasback,Aythya valisineria,M,NA,0.7644,FWS7017,0.5539,0.9811,Nearctic,Nearctic,Wetlands—Seasonally Wet Grasslands,Wetlands—Freshwater Marsh,Wetlands—Lakes and Rivers,Coasts—Marine Waters,1718,Aythya valisineria,Canvasback,Aythya valisineria,Aythya valisineria,Aythya valisineria
Aythya americana,Redhead,Aythya americana,M,NA,1.5861,FWS7017,1.3834,1.7909,Nearctic,Nearctic,Wetlands—Seasonally Wet Grasslands,Wetlands—Freshwater Marsh,Coasts—Marine Waters,Wetlands—Lakes and Rivers,1719,Aythya americana,Redhead,Aythya americana,Aythya americana,Aythya americana
Aythya collaris,Ring-necked Duck,Aythya collaris,M,NA,3.291,BBS7017,2,4.31,Northern Forest,Nearctic,Wetlands—Boreal,,Wetlands—Lakes and Rivers,,1728,Aythya collaris,Ring-necked Duck,Aythya collaris,Aythya collaris,Aythya collaris
Aythya marila,Greater Scaup,Aythya marila,M,NA,-1.4671575,CBC7017,-2.9021616,0.2868235,Arctic,Nearctic,Wetlands—Tundra,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,1730,Aythya marila,Greater Scaup,Aythya marila,Aythya marila,Aythya marila
Aythya affinis,Lesser Scaup,Aythya affinis,M,NA,-1.214,BBS7017,-2.08,-0.45,Nearctic,Widespread,Wetlands—Lakes and Rivers,Wetlands—Freshwater Marsh,Coasts—Marine Waters,Wetlands—Lakes and Rivers,1733,Aythya affinis,Lesser Scaup,Aythya affinis,Aythya affinis,Aythya affinis
Polysticta stelleri,Steller's Eider,Polysticta stelleri,M,NA,-4.0435374,CBC7017*,-5.9062837,-2.2489153,Arctic,Arctic,Wetlands—Tundra,,Coasts—Marine Waters,,1734,Polysticta stelleri,Steller's Eider,Polysticta stelleri,Polysticta stelleri,Polysticta stelleri
Somateria fischeri,Spectacled Eider,Somateria fischeri,M,NA,NA,,NA,NA,Arctic,Arctic,Wetlands—Tundra,Coasts—Tundra,Oceans—Arctic Polynyas,,1735,Somateria fischeri,Spectacled Eider,Somateria fischeri,Somateria fischeri,Somateria fischeri
Somateria spectabilis,King Eider,Somateria spectabilis,M,NA,-6.4294655,CBC7017,-9.0631998,-3.6865821,Arctic,Nearctic,Wetlands—Tundra,Coasts—Tundra,Coasts—Marine Waters,,1736,Somateria spectabilis,King Eider,Somateria spectabilis,Somateria spectabilis,Somateria spectabilis
Somateria mollissima,Common Eider,Somateria mollissima,M,NA,1.0367076,CBC7017,-4.6901839,6.6664695,Arctic,Eastern Temperate,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,Coasts—Rocky Intertidal,1737,Somateria mollissima,Common Eider,Somateria mollissima,Somateria mollissima,Somateria mollissima
Histrionicus histrionicus,Harlequin Duck,Histrionicus histrionicus,M,NA,-0.5187874,CBC7017,-1.8348565,0.8243755,Nearctic,Nearctic,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,Coasts—Marine Waters,Coasts—Rocky Intertidal,1744,Histrionicus histrionicus,Harlequin Duck,Histrionicus histrionicus,Histrionicus histrionicus,Histrionicus histrionicus
Melanitta perspicillata,Surf Scoter,Melanitta perspicillata,M,NA,0.1919714,CBC7017,-0.3824188,0.8202232,Northern Forest,Nearctic,Wetlands—Boreal,,Coasts—Marine Waters,,1746,Melanitta perspicillata,Surf Scoter,Melanitta perspicillata,Melanitta perspicillata,Melanitta perspicillata
Melanitta deglandi,White-winged Scoter,Melanitta deglandi,M,NA,-0.5668567,CBC7017,-2.7019397,1.8471815,Northern Forest,Nearctic,Wetlands—Lakes and Rivers,,Coasts—Marine Waters,,1749,Melanitta deglandi,White-winged Scoter,Melanitta deglandi,Melanitta deglandi,Melanitta deglandi
Melanitta americana,Black Scoter,Melanitta americana,M,NA,-2.2998016,CBC7017,-4.7982435,0.0589436,Arctic,Nearctic,Wetlands—Tundra,,Coasts—Marine Waters,,1755,Melanitta americana,Black Scoter,Melanitta americana,Melanitta americana,Melanitta americana
Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,M,NA,-4.7569104,CBC7017,-9.3439081,-2.2079405,Arctic,Nearctic,Wetlands—Tundra,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,1757,Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,Clangula hyemalis,Clangula hyemalis
Bucephala albeola,Bufflehead,Bucephala albeola,M,NA,3.455,BBS7017,2.45,4.6,Northern Forest,Nearctic,Wetlands—Forested,Wetlands—Lakes and Rivers,Coasts—Marine Waters,Wetlands—Lakes and Rivers,1758,Bucephala albeola,Bufflehead,Bucephala albeola,Bucephala albeola,Bucephala albeola
Bucephala clangula,Common Goldeneye,Bucephala clangula,PM,NA,0.749,BBS7017,-0.01,1.5,Northern Forest,Nearctic,Wetlands—Forested,Wetlands—Lakes and Rivers,Coasts—Marine Waters,Wetlands—Lakes and Rivers,1759,Bucephala clangula,Common Goldeneye,Bucephala clangula,Bucephala clangula,Bucephala clangula
Bucephala islandica,Barrow's Goldeneye,Bucephala islandica,PM,NA,-1.412,BBS7017,-2.82,-0.28,Northern Forest,Nearctic,Wetlands—Forested,Wetlands—Lakes and Rivers,Coasts—Marine Waters,Wetlands—Lakes and Rivers,1762,Bucephala islandica,Barrow's Goldeneye,Bucephala islandica,Bucephala islandica,Bucephala islandica
Lophodytes cucullatus,Hooded Merganser,Lophodytes cucullatus,PM,NA,4.665,BBS7017,3.9,5.43,Northern Forest,Nearctic,Wetlands—Forested,Wetlands—Lakes and Rivers,Wetlands—Lakes and Rivers,,1764,Lophodytes cucullatus,Hooded Merganser,Lophodytes cucullatus,Lophodytes cucullatus,Lophodytes cucullatus
Mergus merganser,Common Merganser,Mergus merganser,PM,NA,-0.438,BBS7017,-1.42,0.31,Northern Forest,Nearctic,Wetlands—Forested,Wetlands—Lakes and Rivers,Wetlands—Lakes and Rivers,,1767,Mergus merganser,Goosander,Mergus merganser,Mergus merganser,Mergus merganser
Mergus serrator,Red-breasted Merganser,Mergus serrator,M,NA,-3.25,BBS7017*,-5.52,-1.12,Arctic,Nearctic,Wetlands—Tundra,Wetlands—Boreal,Coasts—Marine Waters,Coasts—Beach and Estuary,1771,Mergus serrator,Red-breasted Merganser,Mergus serrator,Mergus serrator,Mergus serrator
Nomonyx dominicus,Masked Duck,Nomonyx dominicus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,1776,Nomonyx dominicus,Masked Duck,Nomonyx dominicus,Nomonyx dominicus,Nomonyx dominicus
Oxyura jamaicensis,Ruddy Duck,Oxyura jamaicensis,M,NA,1.719,BBS7017,0.97,2.48,Nearctic,Widespread,Wetlands—Seasonally Wet Grasslands,Wetlands—Freshwater Marsh,Wetlands—Lakes and Rivers,Coasts—Marine Waters,1777,Oxyura jamaicensis,Ruddy Duck,Oxyura jamaicensis,Oxyura jamaicensis,Oxyura jamaicensis
Ortalis vetula,Plain Chachalaca,Ortalis vetula,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,286,Ortalis vetula,Plain Chachalaca,Ortalis vetula,Ortalis vetula,Ortalis vetula
Ortalis cinereiceps,Gray-headed Chachalaca,Ortalis cinereiceps,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,294,Ortalis cinereiceps,Grey-headed Chachalaca,Ortalis cinereiceps,Ortalis cinereiceps,Ortalis cinereiceps
Ortalis wagleri,Rufous-bellied Chachalaca,Ortalis wagleri,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,306,Ortalis wagleri,Rufous-bellied Chachalaca,Ortalis wagleri,Ortalis wagleri,Ortalis wagleri
Ortalis poliocephala,West Mexican Chachalaca,Ortalis poliocephala,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,307,Ortalis poliocephala,West Mexican Chachalaca,Ortalis poliocephala,Ortalis poliocephala,Ortalis poliocephala
Ortalis leucogastra,White-bellied Chachalaca,Ortalis leucogastra,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,312,Ortalis leucogastra,White-bellied Chachalaca,Ortalis leucogastra,Ortalis leucogastra,Ortalis leucogastra
Penelope purpurascens,Crested Guan,Penelope purpurascens,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,357,Penelope purpurascens,Crested Guan,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens
Chamaepetes unicolor,Black Guan,Chamaepetes unicolor,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,388,Chamaepetes unicolor,Black Guan,Chamaepetes unicolor,Chamaepetes unicolor,Chamaepetes unicolor
Penelopina nigra,Highland Guan,Penelopina nigra,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,395,Penelopina nigra,Highland Guan,Penelopina nigra,Penelopina nigra,Penelopina nigra
Oreophasis derbianus,Horned Guan,Oreophasis derbianus,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,396,Oreophasis derbianus,Horned Guan,Oreophasis derbianus,Oreophasis derbianus,Oreophasis derbianus
Crax rubra,Great Curassow,Crax rubra,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,409,Crax rubra,Great Curassow,Crax rubra,Crax rubra,Crax rubra
Rhynchortyx cinctus,Tawny-faced Quail,Rhynchortyx cinctus,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,654,Rhynchortyx cinctus,Tawny-faced Quail,Rhynchortyx cinctus,Rhynchortyx cinctus,Rhynchortyx cinctus
Oreortyx pictus,Mountain Quail,Oreortyx pictus,R,NA,-0.587,BBS7017,-1.11,-0.02,Pacific North America,Pacific North America,Forests—Temperate Western,Aridlands—Chaparral,Forests—Temperate Western,Aridlands—Chaparral,492,Oreortyx pictus,Mountain Quail,Oreortyx pictus,Oreortyx pictus,Oreortyx pictus
Dendrortyx barbatus,Bearded Wood-Partridge,Dendrortyx barbatus,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,491,Dendrortyx barbatus,Bearded Wood-partridge,Dendrortyx barbatus,Dendrortyx barbatus,Dendrortyx barbatus
Dendrortyx macroura,Long-tailed Wood-Partridge,Dendrortyx macroura,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Highland,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,Forests—Mesoamerican Pine-Oak,483,Dendrortyx macroura,Long-tailed Wood-partridge,Dendrortyx macroura,Dendrortyx macroura,Dendrortyx macroura
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,478,Dendrortyx leucophrys,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,Dendrortyx leucophrys,Dendrortyx leucophrys
Philortyx fasciatus,Banded Quail,Philortyx fasciatus,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,528,Philortyx fasciatus,Banded Quail,Philortyx fasciatus,Philortyx fasciatus,Philortyx fasciatus
Colinus virginianus,Northern Bobwhite,Colinus virginianus,R,NA,-3.64,BBS7017,-3.77,-3.51,Great Plains,Great Plains,Open Country—Habitat Mosaic,Forests—Tropical Dry,Open Country—Habitat Mosaic,Forests—Tropical Dry,529,Colinus virginianus,Northern Bobwhite,Colinus virginianus,Colinus virginianus,Colinus virginianus
Colinus nigrogularis,Black-throated Bobwhite,Colinus nigrogularis,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,Grasslands—Tropical,Forests—Tropical Dry,Grasslands—Tropical,554,Colinus nigrogularis,Black-throated Bobwhite,Colinus nigrogularis,Colinus nigrogularis,Colinus nigrogularis
Colinus cristatus,Crested Bobwhite,Colinus cristatus,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Open Country—Habitat Mosaic,,Open Country—Habitat Mosaic,,567,Colinus cristatus,Crested Bobwhite,Colinus cristatus,Colinus cristatus,Colinus cristatus
Callipepla squamata,Scaled Quail,Callipepla squamata,R,NA,-1.547,BBS7017,-2.11,-0.95,North American Southwest,North American Southwest,Grasslands—Chihuahuan,Aridlands—Desert Scrub,Grasslands—Chihuahuan,Aridlands—Desert Scrub,498,Callipepla squamata,Scaled Quail,Callipepla squamata,Callipepla squamata,Callipepla squamata
Callipepla douglasii,Elegant Quail,Callipepla douglasii,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,Aridlands—Desert Scrub,Forests—Tropical Dry,Aridlands—Desert Scrub,503,Callipepla douglasii,Elegant Quail,Callipepla douglasii,Callipepla douglasii,Callipepla douglasii
Callipepla californica,California Quail,Callipepla californica,R,NA,1.109,BBS7017,0.83,1.38,Pacific North America,Pacific North America,Aridlands—Chaparral,,Aridlands—Chaparral,,510,Callipepla californica,California Quail,Callipepla californica,Callipepla californica,Callipepla californica
Callipepla gambelii,Gambel's Quail,Callipepla gambelii,R,NA,-0.257,BBS7017,-1.14,0.57,North American Southwest,North American Southwest,Aridlands—Desert Scrub,Aridlands—Desert Riparian,Aridlands—Desert Scrub,Aridlands—Desert Riparian,519,Callipepla gambelii,Gambel's Quail,Callipepla gambelii,Callipepla gambelii,Callipepla gambelii
Cyrtonyx montezumae,Montezuma Quail,Cyrtonyx montezumae,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,Grasslands—Tropical,Forests—Mesoamerican Pine-Oak,Grasslands—Tropical,643,Cyrtonyx montezumae,Montezuma Quail,Cyrtonyx montezumae,Cyrtonyx montezumae,Cyrtonyx montezumae
Cyrtonyx ocellatus,Ocellated Quail,Cyrtonyx ocellatus,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,,Forests—Mesoamerican Pine-Oak,,651,Cyrtonyx ocellatus,Ocellated Quail,Cyrtonyx ocellatus,Cyrtonyx ocellatus,Cyrtonyx ocellatus
Dactylortyx thoracicus,Singing Quail,Dactylortyx thoracicus,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,624,Dactylortyx thoracicus,Singing Quail,Dactylortyx thoracicus,Dactylortyx thoracicus,Dactylortyx thoracicus
Odontophorus gujanensis,Marbled Wood-Quail,Odontophorus gujanensis,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,582,Odontophorus gujanensis,Marbled Wood-quail,Odontophorus gujanensis,Odontophorus gujanensis,Odontophorus gujanensis
Odontophorus melanotis,Black-eared Wood-Quail,Odontophorus melanotis,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,596,Odontophorus melanotis,Black-eared Wood-quail,Odontophorus melanotis,Odontophorus melanotis,Odontophorus melanotis
Odontophorus dialeucos,Tacarcuna Wood-Quail,Odontophorus dialeucos,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,617,Odontophorus dialeucos,Tacarcuna Wood-quail,Odontophorus dialeucos,Odontophorus dialeucos,Odontophorus dialeucos
Odontophorus leucolaemus,Black-breasted Wood-Quail,Odontophorus leucolaemus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,620,Odontophorus leucolaemus,Black-breasted Wood-quail,Odontophorus leucolaemus,Odontophorus leucolaemus,Odontophorus leucolaemus
Odontophorus guttatus,Spotted Wood-Quail,Odontophorus guttatus,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,623,Odontophorus guttatus,Spotted Wood-quail,Odontophorus guttatus,Odontophorus guttatus,Odontophorus guttatus
Alectoris chukar,Chukar,Alectoris chukar,R,1,1.375,BBS7017,0.37,2.48,Introduced,Introduced,Aridlands—Desert Scrub,,Aridlands—Desert Scrub,,862,Alectoris chukar,Chukar,Alectoris chukar,Alectoris chukar,Alectoris chukar
Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,R,1,NA,,NA,NA,Introduced,Introduced,Tundra—Alpine,,Tundra—Alpine,,839,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Tetraogallus himalayensis,Tetraogallus himalayensis
